epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2235,1.54719,4.09651,1.92969,0.002,1,0.02298,0.00583,1.30832,4.94626,2.13269,0.000583333,0.000583333,0.000583333
2,17.4158,1.51189,3.2698,1.73245,0.00167,0.83333,0.34249,0.11829,2.57945,6.62834,3.1832,0.00123763,0.00123763,0.00123763
3,18.6535,1.76899,3.15433,1.98176,0.001,0.5,0.00129,0.00049,3.63382,14.0539,3.68515,0.00187872,0.00187872,0.00187872
4,19.8706,1.82378,3.12133,1.91441,0.00298,0.94444,0.05888,0.01844,2.34609,6.54779,4.75663,0.0019406,0.0019406,0.0019406
5,21.0823,1.82485,3.16714,1.91841,0.01717,0.05556,0.0103,0.00211,2.94451,9.07737,6.82953,0.0019208,0.0019208,0.0019208
6,22.2824,1.72713,2.77977,1.83029,0.00323,0.16667,0.00379,0.00113,3.02387,16.6911,6.15052,0.001901,0.001901,0.001901
7,23.4981,1.63037,2.50758,1.81473,0.00195,0.11111,0.00143,0.00034,3.57076,59.7956,7.32799,0.0018812,0.0018812,0.0018812
8,24.7088,1.57667,2.37415,1.68737,0.001,0.5,0.00051,8e-05,3.34057,2567.57,18.9663,0.0018614,0.0018614,0.0018614
9,25.9394,1.48169,2.16678,1.62737,0.00033,0.16667,6e-05,2e-05,3.45105,12723,33.2526,0.0018416,0.0018416,0.0018416
10,27.122,1.53625,2.27121,1.62814,0.00148,0.66667,0.00125,0.0004,3.18586,4121.6,6.66651,0.0018218,0.0018218,0.0018218
11,28.3462,1.49241,2.04848,1.58438,0.00225,0.55556,0.00201,0.00063,2.74369,1345.3,3.46628,0.001802,0.001802,0.001802
12,29.5865,1.58643,2.04081,1.65052,0.0033,0.16667,0.00309,0.00052,3.23312,843.551,4.35688,0.0017822,0.0017822,0.0017822
13,30.7973,1.49477,1.92461,1.6402,0.00495,0.05556,0.00358,0.00086,2.48463,184.71,3.24392,0.0017624,0.0017624,0.0017624
14,32.0805,1.50065,1.80302,1.59293,0.02365,0.33333,0.02246,0.008,2.0929,60.6695,2.81123,0.0017426,0.0017426,0.0017426
15,33.3189,1.43479,1.70416,1.53409,0.08326,0.5,0.14949,0.04989,1.60368,19.2103,1.87165,0.0017228,0.0017228,0.0017228
16,34.5553,1.47259,1.8732,1.5831,0.80795,0.77778,0.81971,0.49103,1.46158,4.54602,1.84045,0.001703,0.001703,0.001703
17,35.7806,1.33936,1.75892,1.51042,0.8808,0.82156,0.88569,0.51099,1.3201,4.15673,1.70655,0.0016832,0.0016832,0.0016832
18,36.9939,1.4591,1.76202,1.58071,0.76858,0.77778,0.80982,0.42577,1.64579,2.76207,1.90001,0.0016634,0.0016634,0.0016634
19,38.2044,1.32914,1.60007,1.46634,0.81226,0.77778,0.87493,0.51869,1.52377,2.36863,1.96173,0.0016436,0.0016436,0.0016436
20,39.4108,1.38486,1.53513,1.48501,1,0.81816,0.95616,0.53659,1.61641,2.23645,1.9647,0.0016238,0.0016238,0.0016238
21,40.6241,1.32319,1.4902,1.45802,0.79193,0.83333,0.92683,0.57421,1.49636,2.15573,1.85651,0.001604,0.001604,0.001604
22,41.8672,1.30252,1.43231,1.44461,0.80878,0.77778,0.87767,0.51523,1.3152,2.41456,1.57357,0.0015842,0.0015842,0.0015842
23,43.0945,1.31043,1.46663,1.49651,0.94337,0.92626,0.94031,0.54854,1.25951,2.03212,1.56564,0.0015644,0.0015644,0.0015644
24,44.3007,1.29539,1.4092,1.44089,0.93409,0.78787,0.94289,0.54957,1.26889,2.02612,1.61075,0.0015446,0.0015446,0.0015446
25,45.5038,1.35443,1.40415,1.46017,0.61569,0.83333,0.69325,0.41891,1.31085,2.83072,1.6671,0.0015248,0.0015248,0.0015248
26,46.7364,1.29434,1.34896,1.48253,0.61081,0.88889,0.71537,0.42214,1.35376,2.70775,1.62401,0.001505,0.001505,0.001505
27,47.9519,1.26666,1.24449,1.39621,0.65696,0.66667,0.64699,0.44319,1.3406,2.92564,1.58986,0.0014852,0.0014852,0.0014852
28,49.216,1.32165,1.28882,1.43256,0.55257,0.77778,0.7815,0.5053,1.31167,2.55339,1.63387,0.0014654,0.0014654,0.0014654
29,50.4316,1.1915,1.19149,1.37367,0.75547,0.88889,0.88396,0.59584,1.23263,1.7566,1.48161,0.0014456,0.0014456,0.0014456
30,51.6676,1.30718,1.3177,1.46684,0.93117,0.88889,0.96987,0.61245,1.43655,1.3135,1.66981,0.0014258,0.0014258,0.0014258
31,52.8868,1.26056,1.29744,1.45033,0.82525,0.83333,0.8128,0.47586,1.62673,1.65772,1.97164,0.001406,0.001406,0.001406
32,54.1038,1.277,1.15112,1.40783,0.76578,0.61111,0.64068,0.36306,1.89187,1.95326,2.25361,0.0013862,0.0013862,0.0013862
33,55.3077,1.39514,1.23508,1.43629,0.70991,0.81633,0.82814,0.44432,1.55087,1.66038,1.75877,0.0013664,0.0013664,0.0013664
34,56.5489,1.26691,1.13181,1.38069,0.91428,0.61111,0.76003,0.43616,1.54657,1.73522,1.82179,0.0013466,0.0013466,0.0013466
35,57.782,1.23216,1.213,1.34576,0.58487,0.77778,0.67932,0.38996,1.58103,1.83148,1.83656,0.0013268,0.0013268,0.0013268
36,59.0069,1.2946,1.19426,1.40207,0.96649,0.61111,0.82536,0.57731,1.34068,1.67519,1.54584,0.001307,0.001307,0.001307
37,60.2242,1.18435,1.06075,1.33215,0.74783,0.88889,0.88759,0.6299,1.18272,1.60685,1.44242,0.0012872,0.0012872,0.0012872
38,61.4467,1.15873,1.01059,1.30169,0.88972,0.66667,0.82965,0.51788,1.37683,2.40361,1.686,0.0012674,0.0012674,0.0012674
39,62.7069,1.22046,1.0154,1.36784,0.92241,0.94444,0.92873,0.63217,1.19469,2.62013,1.46694,0.0012476,0.0012476,0.0012476
40,63.9813,1.1786,1.03013,1.38164,0.93915,0.94444,0.95037,0.67552,1.03908,2.04443,1.26941,0.0012278,0.0012278,0.0012278
41,65.2117,1.18618,1.02419,1.39547,0.9293,0.94444,0.97563,0.68029,1.111,1.27724,1.33922,0.001208,0.001208,0.001208
42,66.4433,1.19814,1.01512,1.35437,0.88938,0.88889,0.95527,0.69888,1.08648,1.1268,1.35936,0.0011882,0.0011882,0.0011882
